시도명,시군구명,업종,업소명,주요품목, 가격 ,도로명주소,지번주소,위도,경도,데이터기준일자
강원특별자치도,춘천시,숙박업,서울파크,평일,35000원,강원특별자치도 춘천시 신북읍 상천3길 11,강원특별자치도 춘천시 신북읍 천전리 212-44,37.93258171,127.7916387,2025-07-11
강원특별자치도,춘천시,숙박업,시네마모텔,일반실(평일),40000원,강원특별자치도 춘천시 동면 가산로 153,강원특별자치도 춘천시 동면 지내리 347-3,37.9176615,127.7814594,2025-07-11
강원특별자치도,춘천시,목욕업,바위목욕탕,대인,8000원,강원특별자치도 춘천시 춘천로213번길 9,강원특별자치도 춘천시 효자동 740-6,37.8781813,127.7370635,2025-07-11
강원특별자치도,춘천시,기타비요식업,올큐브독서실,1인실 1개월,100000원,강원특별자치도 춘천시 삭주로 150,강원특별자치도 춘천시 후평동 720-36,37.88567887,127.7469056,2025-07-11
강원특별자치도,춘천시,이미용업,금란미용실,커트,10000원,강원특별자치도 춘천시 둥지길 7,강원특별자치도 춘천시 효자동 649-10,37.86307445,127.7199751,2025-07-11
강원특별자치도,춘천시,이미용업,소유헤어,커트,8000원,강원특별자치도 춘천시 삭주로 136,강원특별자치도 춘천시 후평동 711,37.88536624,127.7455841,2025-07-11
강원특별자치도,춘천시,기타요식업,원리터,아메리카노,1500원,강원특별자치도 춘천시 중앙로68번길 3,강원특별자치도 춘천시 중앙로2가 82-3,37.87933913,127.7261094,2025-07-11
강원특별자치도,춘천시,이미용업,하다헤어클리닉,커트,8000원,강원특별자치도 춘천시 퇴계로105번길 7,강원특별자치도 춘천시 퇴계동 1082,37.86219004,127.7322707,2025-07-11
강원특별자치도,춘천시,이미용업,현순헤어,커트,10000원,강원특별자치도 춘천시 공지로 111,강원특별자치도 춘천시 석사동 682-1,37.85651459,127.7476142,2025-07-11
강원특별자치도,춘천시,기타비요식업,뭉치그루밍,강아지 기본 미용,10000원,강원특별자치도 춘천시 퇴계로 110,강원특별자치도 춘천시 퇴계동 1042,37.86117768,127.7320789,2025-07-11
강원특별자치도,춘천시,한식_육류,짱구네숯불닭발,닭발,10000원,강원특별자치도 춘천시 소양로 184,강원특별자치도 춘천시 소양로1가 95-4,37.88945025,127.7253077,2025-07-11
강원특별자치도,춘천시,한식_일반,분식집에하숙하는붕어빵,떡볶이,3000원,강원특별자치도 춘천시 삭주로 25,강원특별자치도 춘천시 교동 136-7,37.88144015,127.7345244,2025-07-11
강원특별자치도,춘천시,기타요식업,카페테라스,아메리카노,2000원,강원특별자치도 춘천시 춘천로17번길 31,강원특별자치도 춘천시 온의동 587-3,37.86724472,127.7186718,2025-07-11
강원특별자치도,춘천시,이미용업,유종숙머리방,커트,12000원,강원특별자치도 춘천시 중앙로 79-3,강원특별자치도 춘천시 중앙로2가 42-76,37.87837859,127.7255487,2025-07-11
강원특별자치도,춘천시,이미용업,예대미용실,커트,8000원,강원특별자치도 춘천시 후만로 69-1,강원특별자치도 춘천시 후평동 798-13,37.87615257,127.7522198,2025-07-11
강원특별자치도,춘천시,이미용업,머릿결사랑(칠전점),커트,10000원,강원특별자치도 춘천시 칠전서길 15-2,강원특별자치도 춘천시 칠전동 585-1,37.8404435,127.7124815,2025-07-11
강원특별자치도,춘천시,이미용업,실비아미용실,커트,10000원,강원특별자치도 춘천시 춘천로296번길 18,강원특별자치도 춘천시 후평동 689-11,37.87995165,127.7466519,2025-07-11
강원특별자치도,춘천시,이미용업,이레미용실,커트,8000원,강원특별자치도 춘천시 효석로67번길 18-1,강원특별자치도 춘천시 석사동 705-19,37.86186665,127.7393273,2025-07-11
강원특별자치도,춘천시,세탁업,백양세탁소,양복상의,5000원,강원특별자치도 춘천시 춘천로 263-1,강원특별자치도 춘천시 후평동 677-17,37.87988778,127.7426558,2025-07-11
강원특별자치도,춘천시,세탁업,한국세탁소,양복상의,5000원,강원특별자치도 춘천시 가연길5번길 53,강원특별자치도 춘천시 근화동 722-10,37.87530015,127.7166446,2025-07-11
강원특별자치도,춘천시,세탁업,광명세탁,양복상의,6000원,강원특별자치도 춘천시 삭주로 27,강원특별자치도 춘천시 교동 136-8,37.88146147,127.7347178,2025-07-11
강원특별자치도,춘천시,세탁업,백조컴퓨터세탁,양복상의,5000원,강원특별자치도 춘천시 퇴계로146번길 12-1,강원특별자치도 춘천시 퇴계동 979-4 ,37.85854178,127.7347175,2025-07-11
강원특별자치도,춘천시,이미용업,스타미용실,커트,12000원,강원특별자치도 춘천시 효자로 60,강원특별자치도 춘천시 효자동 700-2,37.86893739,127.7301952,2025-07-11
